sample,collection,genus,species,IS1,IS110,IS1182,IS1380,IS1595,IS1634,IS200/IS605,IS21,IS256,IS3,IS30,IS4,IS481,IS5,IS6,IS607,IS630,IS66,IS701,IS91,IS982,ISAS1,ISKRA4,ISL3,ISNCY,new
SRX17608719,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,1,1,0,21,0,1,0,0,0,0,0,1,0,0,0,0,0,14
GCF_014705825.1,ncbi_complete,Acinetobacter,baumannii,0,1,0,0,0,0,0,3,1,2,4,19,0,0,9,0,0,0,0,2,0,0,0,0,0,5
GCF_008244905.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,2,1,0,31,0,1,0,0,0,0,0,2,0,0,0,0,0,10
SRX11171060,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,1,1,0,25,0,1,0,0,0,1,0,2,0,0,0,0,0,9
SRX14003162,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,0,3,0,6,0,4,6,0,0,16,0,4,0,0,0,0,0,1
SRX5671057,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,1,1,1,0,15,0,1,0,0,0,1,0,2,0,0,0,0,0,6
ERX7573417,ncbi_nanopore,Acinetobacter,baumannii,0,0,1,0,0,0,0,1,5,18,2,3,0,63,2,0,0,0,1,2,0,0,0,0,5,0
SRX22142157,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,11,6,0,2,0,3,7,0,0,3,1,3,0,0,0,0,0,2
SRX11171071,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,1,1,0,19,1,4,1,0,0,0,0,0,0,0,0,0,0,3
GCF_039779435.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,1,1,4,1,0,20,1,0,0,0,0,0,0,0,0,3,0,6
GCF_030168265.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GCF_025854235.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,5
GCF_000419405.1,ncbi_complete,Acinetobacter,baumannii,1,0,1,0,0,0,0,2,0,6,10,16,1,2,1,0,0,0,0,1,0,0,0,1,0,0
GCF_018454385.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,1,1,3,0,14,0,4,9,0,0,1,0,2,0,0,0,0,0,2
GCF_002762545.2,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,3,1,2,0,23,0,0,9,0,0,0,0,6,0,0,0,0,0,5
SRX11171074,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,3,1,0,24,0,5,0,0,0,1,0,1,0,0,0,0,0,8
GCA_024505625.1,ncbi_complete,Acinetobacter,baumannii,2,0,0,0,0,0,0,2,5,4,4,2,0,7,2,0,0,5,1,1,0,0,0,1,4,0
GCF_029774335.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,1,0,8,0,13,0,2,12,0,0,9,0,3,0,0,0,0,0,2
GCF_024138105.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,3,1,0,0,14,1,6,0,0,0,0,0,0,0,0,0,0,0,2
GCF_022870045.1,ncbi_complete,Acinetobacter,baumannii,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0
SRX13143624,ncbi_nanopore,Acinetobacter,baumannii,0,1,0,0,0,0,0,3,0,0,29,12,0,0,0,0,0,1,0,0,0,0,0,0,0,3
GCF_036718155.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,0,1,0,23,1,1,0,0,0,0,0,0,0,0,0,0,0,4
SRX22142034,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,0,0,3,15,0,1,0,0,0,1,0,2,0,0,0,0,0,8
GCF_024138435.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,2,7,14,2,0,10,0,0,0,5,0,0,0,0,0,0,0,0
GCF_025854055.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,0,0,0,16,0,1,1,0,0,0,0,0,0,0,0,0,0,0
SRX17608739,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,0,0,0,17,0,1,3,0,0,0,0,0,0,0,0,0,0,0
SRX11171064,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,1,1,0,18,0,1,0,0,0,0,0,1,0,0,0,0,0,5
GCF_002009115.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,2,0,2,24,0,0,5,0,0,0,0,1,0,0,0,0,0,3
SRX17608742,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,5
SRX19325127,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,2,0,0,29,0,1,0,0,0,1,0,0,0,0,0,0,0,2
SRX11180183,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,1,1,0,19,0,1,0,0,0,0,0,1,0,0,0,0,0,5
GCF_019903175.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_013403505.1,ncbi_complete,Acinetobacter,baumannii,1,0,0,0,0,0,0,2,1,0,0,12,0,2,3,0,0,0,0,0,0,0,0,2,0,4
GCF_024749625.1,ncbi_complete,Acinetobacter,baumannii,1,0,0,0,0,0,0,6,1,40,2,9,0,28,8,0,0,11,0,0,1,0,0,0,0,0
GCF_002999195.2,ncbi_complete,Acinetobacter,baumannii,3,0,1,0,0,0,0,1,0,1,0,8,0,0,3,0,0,0,0,1,0,0,0,2,1,3
SRX14003143,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,2,1,0,28,0,0,0,0,0,0,0,1,0,0,0,0,0,8
SRX22142128,ncbi_nanopore,Acinetobacter,baumannii,1,0,0,0,0,0,0,2,2,1,3,20,0,1,0,0,0,6,0,1,0,0,0,0,0,7
GCF_022468295.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,1,0,0,18,0,1,0,0,0,0,0,2,0,0,0,0,0,5
SRX22142028,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,1,3,0,21,0,2,0,0,0,1,0,2,0,0,0,0,0,8
SRX23626063,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCA_003012895.3,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,1,22,38,0,5,0,79,4,0,1,0,4,0,8,0,0,0,5,0
GCA_024126255.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,2,1,0,20,0,4,0,0,0,1,0,2,0,0,0,0,0,12
GCA_003627485.2,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,1,1,4,30,0,4,0,0,0,1,0,4,0,0,0,0,0,11
GCF_023517735.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,2,1,0,24,0,0,5,0,0,0,0,1,0,0,0,0,0,3
GCF_035753605.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,2,1,0,22,0,5,0,0,0,0,0,1,0,0,0,0,0,4
GCF_029774355.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,1,0,7,0,13,0,2,12,0,0,9,0,6,0,0,0,0,0,2
GCF_002116925.1,ncbi_complete,Acinetobacter,baumannii,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0
GCF_001941765.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,1,0,3,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,4
GCF_028583465.1,ncbi_complete,Acinetobacter,baumannii,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCF_002762095.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,1,1,0,15,0,2,0,0,0,0,0,0,0,0,0,0,0,6
GCF_003949115.2,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,3,0,3,0,9,0,3,1,0,0,20,0,5,0,0,0,0,0,0
GCF_033469325.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
GCF_012935065.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,1,2,1,2,24,0,1,0,0,0,0,0,1,0,0,0,0,0,7
GCF_001573065.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,1,2,1,0,21,0,7,5,0,0,0,0,2,0,0,0,0,0,4
SRX22142117,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,0,1,0,20,0,1,0,0,0,1,0,2,0,0,0,0,0,7
ERX7850207,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,2,0,0,26,0,3,5,0,0,2,0,1,0,0,0,0,0,3
SRX7735084,ncbi_nanopore,Acinetobacter,baumannii,1,0,0,0,20,0,0,1,1,4,0,25,0,3,6,0,0,1,1,2,0,0,0,0,0,7
GCF_005519135.2,ncbi_complete,Acinetobacter,baumannii,1,0,0,0,0,0,0,2,0,4,9,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2
ERX2806118,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,1,0,0,10,28,0,55,0,0,0,6,0,0,0,0,0,0,0,4
SRX6894770,ncbi_nanopore,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,0,0,10,25,0,11,3,0,0,8,0,1,0,0,0,0,0,0
GCF_020912005.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,1,0,2,0,1,0,3,0,0,0,0,5,1,0,0,0,0,0,5
GCF_001806345.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,1,1,0,24,0,26,4,0,0,0,0,1,0,0,0,0,0,0
GCF_024172225.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,3,1,0,0,25,1,8,4,0,0,0,0,0,0,0,0,0,0,0
GCF_025449195.1,ncbi_complete,Acinetobacter,baumannii,0,0,0,0,0,0,0,2,2,1,0,19,0,1,5,0,0,1,0,1,0,0,0,0,0,0
